"","","NEW BEST PRICE LIST","","","","",
"","Unique Model","","","","","",
"No.","","Product's Name","Photo","Specification","","",
"","Code","","","","","",
"","","","","","","",
"","","","","Dimension:800*900*920mm","","",
"","","4-Burner Gas","","Oven","","",
"1","HGR-905","Range With Gas","","Dimensions:550*680*270mm","5","$577.5",
"","","","","LPG2800-3700Pa:2.62kg/h","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.70m3/H","","",
"","","","","Power Supply:7 5 x 4 + 5 8KW","","",
"","","","","Dimension:800*900*920mm","","",
"","","4-Burner Gas","","Oven","","",
"2","HGR-905A","Range With Electric","","Dimensions:550*680*270mm","5","$549.3",
"","","","","LPG2800-3700Pa:2.62kg/h","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.70m3/H","","",
"","","","","Power Supply:7 5 x 4 + 5 8KW","","",
"","","","","Dimension:700*700*920mm","","",
"","","4-Burner Gas","","Oven","","",
"3","HGR-705","Range With Gas","","Dimensions:550*550*270mm","5","$549.3",
"","","","","LPG2800-3700Pa:2.06kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.07m3/H","","",
"","","","","Power Supply:7 5 x 4 + 5 8KW","","",
"","","","","Dimension:700*700*920mm","","",
"","","4-Burner Gas","","Oven","","",
"4","HGR-705A","Range With Electric","","Dimensions:550*550*270mm","5","$521.1",
"","","","","LPG2800-3700Pa:2.06kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.07m3/H","","",
"","","","","Power Supply:7 5 x 4 + 5 8KW","","",
"","","","","Dimesnion:800*900*920mm","","",
"","","Gas 4-Burner","","LPG2800-3700Pa:2.06Kg/H","","",
"5","HGR-905B","","","","","",
"","","","","NG2000-2500Pa:3.07m3/H","5","$436.6",
"","","Range with Cabinet","","","","",
"","","","","Power Supply:7.5 x 4KW","","",
"","","","","Dimesnion:700*700*920mm","","",
"","","Gas 4-Burner","","LPG2800-3700Pa:2.06Kg/H","","",
"6","HGR-705B","","","","","",
"","","","","NG2000-2500Pa:3.07m3/H","5","$408.5",
"","","Range with Cabinet","","","","",
"","","","","Power Supply:7.5 x 4KW","","",
"","","","","Dimension:800*900*920mm","","",
"","","Gas 4-Burner","","Oven","","",
"7","HX-905Z","Range with Gas","","Dimension:550*680*270mm","5","$612.7",
"","","","","LPG2800-3700Pa:2.10kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa：2.81m3/H","","",
"","","","","Power","","",
"","","","","Dimension:800*900*920mm","","",
"","","Gas 4-Burner","","Oven","","",
"8","HX-905ZA","Range with Electric","","Dimension:550*680*270mm","5","$577.5",
"","","","","LPG2800-3700Pa:2.10kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa：2.81m3/H","","",
"","","","","Power","","",
"","","","","Dimension:800*900*920mm","","",
"","","Gas 4-Burner","","LPG2800-3700Pa:1.73kg/H","","",
"9","HGR-905ZB","","","","5","$471.8",
"","","Range with Cabinet","","NG2000-2500Pa:2.33m3/h","","",
"","","","","Power Supply:7.5x2+4.5x2KW","","",
"","Unique Model","","","","","",
"No.","","Product's Name","Photo","Specification","","",
"","Code","","","","","",
"","","","","","MOQ","USD",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"10","HGR-996","Range With Gas","","Dimension:550*680*270mm","5","$725.4",
"","","","","LPG2800-3700Pa:3.55Kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:5.26m3/H","","",
"","","","","Power Supply:7 5x6+5 8KW","","",
"","","","","Dimension:1050*700*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"11","HGR-776","Range With Gas","","Dimension:560*600*270mm","5","$697.2",
"","","","","LPG2800-3700Pa:3.55 kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:5.26m3/H","","",
"","","","","Power Supply:7 5x6+5 8KW","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"12","HGR-996A","Range With Electric","","Dimension:550*680*270mm","5","$683.1",
"","","","","LPG2800-3700Pa:3.34Kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:4.85m3/H","","",
"","","","","Power Supply:7 5x6+4 8KW","","",
"","","Gas 6-Burner","","Dimension:1050*700*920mm","","",
"","","","","Oven","","",
"13","HGR-776A","Range With Electric","","","","",
"","","","","Dimension:550*550*270mm","5","$654.9",
"","","Oven","","Power Supply:7.5x6+4.8KW","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","LPG 2800-3700Pa:3.34/2.4kg/H","","",
"14","HGR-996B","","","","5","$549.3",
"","","Range with Cabinet","","NG2000-2500Pa:4.66/3.49m3/H","","",
"","","","","Power Supply:7.5x3+4.5x3KW","","",
"","","Gas 6-Burner","","Dimension:1200*900*920mm","","",
"","","","","LPG 2800-3700Pa:3.34/2.4kg/H","","",
"15","HGR-996ZB","Range with Cabinet","","","","",
"","","","","NG2000-2500Pa:4.66/3.49m3/H","5","$605.6",
"","","( Silver burner)","","Power Supply:7.5x3+4.5x3KW","","",
"","","","","Dimension:1050*700*920mm","","",
"","","Gas 6-Burner","","LPG 2800-3700Pa:3.34kg/H","","",
"16","HGR-776B","","","","5","$507.0",
"","","Range with Cabinet","","NG2000-2500Pa:4.66m3/H","","",
"","","","","Power Supply:7.5 x 6KW","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"17","HGR-996Z","Range With","","Dimension:550*680*270mm","5","$767.6",
"","","","","LPG2800-3700Pa:2.96Kg/H","","",
"","","GasOven","","","","",
"","","","","NG2000-2500Pa:3.98m3/H","","",
"","","","","Power","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas 6-Burner","","Oven","","",
"18","HGR-996ZA","Range With Electric","","Dimension:550*680*270mm","5","$704.2",
"","","","","LPG2800-3700Pa:2.96Kg/H","","",
"","","Oven","","","","",
"","","","","NG2000-2500Pa:3.98m3/H","","",
"","","","","Power","","",
"","","","","Dimension:1200*900*920mm","","",
"","","Gas Range 4-","","Oven","","",
"19","HGR-998","Burner Stove &","","Dimension:550*680*270mm","5","$753.5",
"","","Griddle & Oven","","Power","","",
"","","","","Supply:7.5x4+5.8+5.8KW","","",
